Material,"Density
","Melting Point
","Boiling Point
",Material,"Electric Resistivity
",Material,"Thermal Expansion Coefficient
","Thermal Conductivity
",Material,"Tensile Strength
","Elongation
",Material,Specific Heat (J/kgoC),Material,Boiling Points at Atmospheric Pressure,Material,Radiation Constant ,Material,"Thermal Conductivity 
- k - W/",Material,Crushing Weight ,Shearing Strength ,"Strength
",Material,Ksp,Material,Density,Material
Lutetium,,1656,,,,,,,,,,Paper,1336,3 - Methylpentane,63.3,,,Ethylene glycol,0.25,,,,,Mercury chloride,1.43*10-18,Corundum,4,
Magnesium,,648.8,,,,,,,,,,Paraffin,3260,Naphthalene ,217.9,,,Feathers,0.034,,,,,Mercury fluoride,3.10*10-6,CPVC,1.6,
Manganese,,1244,,,,,,,,,,Peat,1900,Neohexane,49.7,,,Felt insulation,0.04,,,,,Mercuryhydroxide,2*10-24,Lead Crystal,3.1,
Mendelevium,,,,,,,,,,,,Perlite,387,Neopentane,9.5,,,Fiberglass,0.04,,,,,Mercury hydroxide,4*10-26,Diamond,3 - 3.5,
Mercury,,-38.87,,,,,,,,,,Phenolic cast resins,1250 - 1670,Nitric Acid,120,,,Fiber insulating board,0.048,,,,,Mercury iodide,5.2*10-29,Dolomite,2.8,
Molybdenum,,2617,,,,,,,,,,Phenol-formaldehyde molding compounds,2500 - 6000,Nitrobenzene,210.9,,,Fiber hardboard,0.2,,,,,Mercury,2.9*10-29,Duralium,2.8,
Neodymium,,1010,,,,,,,,,,Phosphorbonze,360,n - Nonane,150.7,,,Fire-clay brick 500oC,1.4,,,,,Mercury oxalate,1.75*10-13,"Earth, loose",1.2,
Neon,,-248.67,,,,,,,,,,Phosphorus,800,Nitric Acid,120,,,Fluorine ,0.0254,,,,,Mercury sulfate,6.5*10-7,"Earth, rammed",1.6,
Neptunium,,640,,,,,,,,,,Pinchbeck,380,Nitrogen,-196,,,Foam glass,0.045,,,,,Mercury thiocyanate,3.2*10-20,Ebonite,1.15,
Nickel,,1453,,,,,,,,,,Pit coal,1020,n - Octane,125.6,,,Dichlorodifluoromethane R-12 ,0.007,,,,,Neodymium carbonate,1.08*10-33,Emery,4,
Niobium,,2468,,,,,,,,,,Platinium,133,Olive oil,300,,,Dichlorodifluoromethane R-12 ,0.09,,,,,Nickel carbonate,1.42*10-7,Electron,1.8,
Nitrogen,,-209.86,,,,,,,,,,Plutonium,140,Oxygen,-183,,,Gasoline,0.15,,,,,Nickel hydroxide,5.48*10-16,Epidote,3.2 - 3.5,
Nobelium,,,,,,,,,,,,Polycarbonates,1170 - 1250,n - Pentane,36,,,Glass,1.05,,,,,Nickel iodate,4.71*10-5,Epoxy cast resin,1.11 - 1.4,
Osmium,,3045,,,,,,,,,,Polyethylene terephthalate,1250,1 - Pentene,30,,,Glass,0.18,,,,,Nickel phosphate,4.74*10-32,Epoxy glass fibre,1.5,
Oxygen,,-218.4,,,,,,,,,,Polyimide aromatics,1120,Petrol,95,,,Glass,0.76,,,,,Palladium thiocyanate,4.39*10-23,Expanded polystyrene,0.015 - 0.03,
Palladium,,1554,,,,,,,,,,Polyisoprene natural rubber,1880,Petroleum,210,,,Glass,0.96,,,,,Potassium hexachloroplatinate,7.48*10-6,Feldspar,2.6 - 2.8,
Phosphorus,,44.1,,,,,,,,,,Polyisoprene hard rubber,1380,Phenol,182,,,Glass,0.04,,,,,Potassium perchlorate,1.05*10-2,Fire brick,1.8 - 2.2,
Platinum,,1772,,,,,,,,,,Polymethylmethacrylate,1500,Phosgene,8.3,,,Glycerol,0.28,,,,,Potassium periodate,3.71*10-4,Flint,2.6,
Plutonium,,641,,,,,,,,,,Polypropylene,1920,Phosphoric Acid,213,,,Gold,310,,,,,Praseodymium hydroxide,3.39*10-24,Fluorite,3.2,
Polonium,,254,,,,,,,,,,Polystyrene,1300 - 1500,Propane,-42.04,,,Granite,1.7 - 4.0,,,,,Radium iodate,1.16*10-9,Galena,7.3 - 7.6,
Potassium,,63.25,,,,,,,,,,Polytetrafluoroethylene moulding compound,1000,Propene,-47.72,,,Graphite,168,,,,,Radium sulfate,3.66*10-11,Gallium,5.9,
Praceodymium,,931,,,,,,,,,,Polytetrafluoroethylene ,1172,Propionic acid,141,,,Gravel,0.7,,,,,Rubidium perchlorate,3.00*10-3,Gamboge,1.2,
Promethium,,1080,,,,,,,,,,Polyurethane cast liquid,1800,Propylene,-47.7,,,Ground or soil,1.4,,,,,Scandium fluoride,5.81*10-24,Garnet,3.2 - 4.3,
Protactinium,,1600,,,,,,,,,,Polyurethane elastomer,1800,Propylene glycol,187,,,Ground or soil,1,,,,,Scandium hydroxide,2.22*10-31,Gas carbon,1.9,
Radium,,700,,,,,,,,,,Polyvinylchloride PVC,840 - 1170,Saturated brine,108,,,Ground or soil,0.5,,,,,Silver acetate,1.94*10-3,Gelatin,1.3,
Radon,,-71,,,,,,,,,,Porcelain,1085,Styrene,145,,,Ground or soil,0.33,,,,,Silver arsenate,1.03*10-22,Germanium,5.32,
Rhenium,,3180,,,,,,,,,,Potassium,1000,Sulphur,444.6,,,Gypsum board,0.17,,,,,Silver bromate,5.38*10-5,"Glass, common",2.4 - 2.8,
Rhodium,,1965,,,,,,,,,,Potassium chloride,680,Sulfuric Acid,330,,,Hairfelt,0.05,,,,,Silver bromide,5.35*10-13,"Glass, flint",2.9 - 5.9,
Rubidium,,38.89,,,,,,,,,,Pyroceram,710,Sulfur Dioxide,-10,,,Hardboard high density,0.15,,,,,Silver carbonate,8.46*10-12,"Glass, Pyrex",2.21,
Ruthenium,,2310,,,,,,,,,,Quartz,730,Tar,300,,,Hardwoods ,0.16,,,,,Silver chloride,1.77*10-10,Glass-wool,0.025,
Samarium,,1072,,,,,,,,,,Quartz glass,700,Toluene,110.6,,,Helium ,0.142,,,,,Silver chromate,1.12*10-12,Glue,1.3,
Scandium,,1539,,,,,,,,,,Red metal,381,Triptane,80.9,,,Honey ,0.5,,,,,Silver cyanide,5.97*10-17,Gneiss,2.69,
Selenium,,217,,,,,,,,,,Rhenium,140,Turpentine,160,,,Hydrochloric acid ,0.013,,,,,Silver hydroxide,2*10-8,Gold,19.29,
Silicon,,1410,,,,,,,,,,Rhodium,240,Water,100,,,Hydrogen ,0.168,,,,,Silver iodate,3.17*10-8,Granite,2.6 - 2.8,
Silver,,961.93,,,,,,,,,,Rosin,1300,Water,100.7,,,Hydrogen sulfide ,0.013,,,,,Silver iodide,8.52*10-17,Graphite,2.3 - 2.7,
Sodium,,97.81,,,,,,,,,,Rubidium,330,o - Xylene,142.7,,,Ice ,2.18,,,,,Silver oxalate,5.40*10-12,Gum arabic,1.3 - 1.4,
Strontium,,769,,,,,,,,,,Salt,880,,,,,Ingot iron,47 - 58,,,,,Silver phosphate,8.89*10-17,Gypsum,2.3,
Sulfur,,112.8,,,,,,,,,,Sand,830,,,,,Insulation materials,0.035 - 0.16,,,,,Silver sulfate,1.20*10-5,Hematite,4.9 - 5.3,
Tantalum,,2996,,,,,,,,,,Sandstone,710,,,,,Iodine,0.44,,,,,Silver sulfite,1.50*10-14,Hornblende,3,
Technetium,,2172,,,,,,,,,,Scandium,568,,,,,Iridium,147,,,,,Silver thiocyanate,1.03*10-12,Ice,0.917,
Tellurium,,449.5,,,,,,,,,,Selenium,330,,,,,Iron,80,,,,,Strontium arsenate,4.29*10-19,Iron,7.87,
